"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"lenovo a536","lenovo","a536",2014,"Q3","100","5",NA
"asus x013d","asus","zenfone go zb551kl",2016,"May",NA,"5.5",NA
"r815","oppo","r815t clover",2013,"April","100","4.3",NA
"x9076","oppo","u701 ulike",2012,"June","80","4",NA
"lumia 640 xl lte","microsoft","lumia 640 xl lte",2015,"April","200","5.7",NA
"nokia xl","nokia","xl",2014,"May","100","5","also known as nokia xl dual sim rm-1030/rm-1042 with dual-sim card slots"
"p01y",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 711",NA,NA,NA,NA,NA,NA,NA
"909","nokia","lumia 1020",2013,"July","400","4.5","also known as nokia eos, nokia 909, nokia rm-875, nokia rm-877, nokia rm-876"
"zte c310",NA,NA,NA,NA,NA,NA,NA
"lg  d802","lg","g2",2013,"September","270","5.2","versions: d800 (at&t); d802 (europe); d801 (t-mobile); d802ta (australia); d803 (canada); vs980 (verizon); ls980 (sprint)"
"gt-p3100","samsung","galaxy tab 2 7.0 p3100",2012,"April","150","7","tablet with support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 2 (7.0)"
"lenovo a5000","lenovo","a5000",2015,"April","150","5",NA
"sm-n7502","samsung","galaxy note 3 neo duos",2014,"February","410","5.5","also known as: 
- samsung galaxy note 3 neo dual sim n7502"
"lenovo a680 row","lenovo","a680",2014,"May","110","5",NA
"r7plusf","oppo","joy plus",2015,"May","100","4",NA
"r821","oppo","r821t find muse",2013,NA,"290","4",NA
"vivo x5",NA,NA,NA,NA,NA,NA,NA
"y625-u43",NA,NA,NA,NA,NA,NA,NA
"smart 4g hd voice",NA,NA,NA,NA,NA,NA,NA
"iq 5.6",NA,NA,NA,NA,NA,NA,NA
"iris 515",NA,NA,NA,NA,NA,NA,NA
"smart tab 4g speedy 7.0",NA,NA,NA,NA,NA,NA,NA
"n5206","oppo","n3",2015,"January","550","5.5",NA
"vivo y22",NA,NA,NA,NA,NA,NA,NA
"t03","dell","streak 10 pro",2011,NA,"280","10.1","also known as dell t03g"
"t02","acer","liquid z530",2015,"October","150","5",NA
"lava a2",NA,NA,NA,NA,NA,NA,NA
"zte blade q3",NA,NA,NA,NA,NA,NA,NA
"d6503","sony","xperia z2 tablet wi-fi",2014,"March","360","10.1","- sgp511 - 16 gb
- sgp512 - 32 gb"
"gt-i8262","samsung","galaxy core i8260",2013,"June","160","4.3","available as samsung galaxy core i8262 duos with dual-sim card slots"
"i-mobile iq x leon",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq ii",NA,NA,NA,NA,NA,NA,NA
"eva-l19","huawei","p9",2016,"April","440","5.2","versions: eva-l09 (single sim); eva-l19, eva-l29 (dual sim)"
"rainbow",NA,NA,NA,NA,NA,NA,NA
"iphone os 10",NA,NA,NA,NA,NA,NA,NA
"asus x013da","asus","zenfone go zb551kl",2016,"May",NA,"5.5",NA
"u707","oppo","find",2012,"July","100","4.3",NA
"rio-l02","huawei","g8",2015,"October","340","5.5","also known as huawei gx8"
"iris560",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 5.3",NA,NA,NA,NA,NA,NA,NA
"iris 505","lava","iris 505",2013,"August","100","5",NA
"i-mobile iq x zeen",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 9.2",NA,NA,NA,NA,NA,NA,NA
"r8006",NA,NA,NA,NA,NA,NA,NA
"nokia x","nokia","x",2014,"March","100","4","also known as nokia normandy, nokia a110, nokia x dual sim rm-980 with dual-sim card slots"
"zte blade l3 apex",NA,NA,NA,NA,NA,NA,NA
"z150","acer","liquid z5",2014,"January","170","5","also known as acer liquid z5 duo"
"gt-s7562","samsung","galaxy s duos s7562",2012,"September","110","4",NA
"i-style 7.6",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 710",NA,NA,NA,NA,NA,NA,NA
"zte t660",NA,NA,NA,NA,NA,NA,NA
"ridge fab 4g",NA,NA,NA,NA,NA,NA,NA
"c6902","sony","xperia z1",2013,"September","330","5","also known as sony xperia z1 honami, sony xperia z1 c6902/l39h, sony xperia z1 c6903, sony xperia z1 c6906, sony xperia z1 c6943"
"i-mobile i-style 811",NA,NA,NA,NA,NA,NA,NA
"r831l","oppo","u705t ulike 2",2012,"December","280","4.5",NA
"i-mobile iq5.9 dtv",NA,NA,NA,NA,NA,NA,NA
"r831","oppo","neo",2014,"Q1","160","4.5",NA
"i-mobile i-style 8.6 dtv",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq big",NA,NA,NA,NA,NA,NA,NA
"lg  d690","lg","g3 stylus",2014,"October","240","5.5","also known as lg g3 stylus d690n, lg d690"
"htc desire 816","htc","desire 816 dual sim",2014,"May","250","5.5",NA
"sm-n915","samsung","galaxy note edge",2014,"November","650","5.6","versions: n915fy (europe), n915a (at&t), n915t (t-mobile), n915k/n915l/n915s (korea), n915g (singapore, australia, spain), n915d (japan)"
"lumia 520 like","nokia","lumia 1520",2013,"November","350","6","rm-937 - global version
rm-938 - us version
rm-939 - wcdma hspa+ version
rm-940 - at&t version"
"lg  d855","lg","g3",2014,"June","300","5.5","versions: d855 (europe); d850 (at&t); d851 (t-mobile); d852 (canada)"
"d6653","sony","xperia z3v",2014,"October","370","5.2","for verizon
also known as sony xperia z3v d6708"
"asus x014d","asus","zenfone go zb452kg",2016,"April",NA,"4.5",NA
"sm-c111","samsung","galaxy k zoom",2014,"June","440","4.8","versions:
samsung galaxy k zoom 3g c111 with 3g; samsung galaxy k zoom lte c115 with 3g & lte
also known as samsung galaxy s5 zoom"
"i-mobile iq x3",NA,NA,NA,NA,NA,NA,NA
"gt-i9190","samsung","i9190 galaxy s4 mini",2013,"July","230","4.3","also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots"
"vns-l22","huawei","mediapad 7 lite",2012,"September","150","7","tablet with support for gsm voice communication, sms, and mms"
"lenovo a2020a40","lenovo","a2010",2015,"September","70","4.5",NA
"iris456",NA,NA,NA,NA,NA,NA,NA
"alcatel 7049d","alcatel","ot-e230",2007,"February",NA,"1.3",NA
"redmi note 3",NA,NA,NA,NA,NA,NA,NA
"lenovo a328","lenovo","a328",2014,"Q3","90","4.5",NA
"cun-l22","huawei","y5ii",2016,"June",NA,"5","also known as huawei y5 2, huawei honor 5, huawei honor play 5, huawei honor 5 play"
"nxt-l29","huawei","t208",2008,NA,NA,"1.5",NA
"lenovo pb1-770m","lenovo","a850+",2014,"April","160","5.5","also known as lenovo a850 plus"
"a559","lenovo","a859",2014,"April","140","5",NA
"i-mobile iq 9",NA,NA,NA,NA,NA,NA,NA
"smart tab gen me",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq5.1 pro",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 217",NA,NA,NA,NA,NA,NA,NA
"iris405+",NA,NA,NA,NA,NA,NA,NA
"p01v","asus","zenpad 7.0 z370cg",2015,"August","160","7",NA
"y3","huawei","y3ii",2016,"June",NA,"4.5","also known as huawei y3 2"
"z130","samsung","z1",2015,"January","80","4","also known as samsung z1 z130h, z130h/ds"
"z00d","asus","zenfone 2 ze500cl",2015,"March","180","5",NA
"asus z011d",NA,NA,NA,NA,NA,NA,NA
"e5553","sony","xperia c5 ultra",2015,"August","390","6","also known as sony xperia c5 e5553, e5506"
"i-mobile iq xpro",NA,NA,NA,NA,NA,NA,NA
"e5653","sony","xperia m5",2015,"September","460","5","also known as sony xperia m5 e5603, e5606, e5653"
"c6602","sony","xperia z",2013,"February","270","5","also known as sony xperia c6603, sony xperia c6602, sony xperia z lte, sony xperia z hspa+"
